,Item,Patrimônio,,,,Garantia,,,,Modelo,Descrição
,122,5740,,,,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA
,123,5741,,,,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA
,124,5760,,,,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA
,125,5761,,,,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA
,126,5762,,,,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA
,127,5763,,,,,,,,,POLTRONA FIXA EM COURO SINTETICO SOBRE LONGARINA
,128,5790,,,,,,,,,"BANCADA DE TRABALHO . - DESCRICAO: ESTRUTURA METALICA NA COR PRETA, COM TAMPO EM MELAMINIO BRANCO GELO, MED. 2,75X0,50X0,82, COM RODÍZIOS"
,129,5807,,,,,,,,,MESA EM MELAMINIO
,130,5809,,,,,,,,,"MESA INTEGRADA - DESCRICAO: TIPO U, COM 2 SUPORTES PARA CPU"
,131,5887,,,,22/07/2005 a 22/07/2006,,,,5012-03 + 5021,CADEIRA GIRATORIA EM TECIDO - DESCRICAO: NA COR AZUL MARINH0.
,132,5892,,,,22/07/2005 a 22/07/2006,,,,5012-03 + 5021,CADEIRA GIRATORIA EM TECIDO - DESCRICAO: NA COR AZUL MARINH0.
,133,5906,,,,22/07/2005 a 22/07/2006,,,,5012-03 + 5021,CADEIRA GIRATORIA EM TECIDO - DESCRICAO: NA COR AZUL MARINH0.
,134,5938,,,,,,,,,"BALCAO EM MADEIRA - DESCRICAO: MACIÇA MEDINDO 3,95 X1,30X0,60M."
,135,5947,,,,12/08/2005 a 12/08/2006,,,,,FOGAO TIPO RESIDENCIAL - DESCRICAO: COM COM 04 BOCAS
,136,5975,,,,,,,,,MOTO BOMBA CENTRIFUGA - DESCRICAO: 1/2 CV COM SAÍDA 3/4
,137,5992,,,,,,,,,EXTINTOR DE INCENDIO CO2 - DESCRICAO: 6 KG
,138,6000,,,,,,,,,"PRATELEIRA COM TAMPA - DESCRICAO: EM MADEIRA ESTRUTURA DE FERRO, COM SUPORTE E MÃO-DE-FORCA, INSTALADA A PARTIR 2 METROS DE ALTURA DO CHÃO, PROFUNDIDADE DE 40 CM, ALTURA DE 50 CM CADA UMA, 1 (UMA) PARTE DE 3 METROS E 1(UMA) PARTE DE 4 METROS"
