Item;Patrimônio;Garantia;Garantia_fim;Marca;Modelo;Série;Modelo;Descrição;
159;6500;;;;;;POLTRONA FIXA EM TECIDO SOBRE LONGARINA ; NA COR AZUL MARINHO;
160;6503;;;;;;POLTRONA FIXA EM TECIDO SOBRE LONGARINA ; NA COR AZUL MARINHO;
161;6536;13/03/2007 ; 13/03/2008;;AOC;;MONITOR LCD - CRISTAL LIQUIDO ; 17 POLEGADAS;
162;6541;13/03/2007 ; 13/03/2008;;AOC;;MONITOR LCD - CRISTAL LIQUIDO ; 17 POLEGADAS;
163;6545;13/03/2007 ; 13/03/2008;;AOC;LM722;MONITOR LCD - CRISTAL LIQUIDO ; 17 POLEGADAS;
164;6548;13/03/2007 ; 13/03/2008;;AOC;LM722;MONITOR LCD - CRISTAL LIQUIDO ; 17 POLEGADAS;
165;6550;13/03/2007 ; 13/03/2008;;AOC;LM722;MONITOR LCD - CRISTAL LIQUIDO ; 17 POLEGADAS;
166;6551;13/03/2007 ; 13/03/2008;;AOC;LM722;MONITOR LCD - CRISTAL LIQUIDO ; 17 POLEGADAS;
167;6576;16/04/2007 ; 16/04/2008;;APC;SURTA 3000XL;NO BREAK  ; 3KVA/ 18 KW PARA RACK 19;
168;6579;16/04/2007 ; 16/04/2008;;APC;SURTA 3000XL;NO BREAK  ; 3KVA/ 18 KW PARA RACK 19;
169;6581;04/06/2007 ; 30/11/2007;;KARSECT;KRU-302;RECEPTOR DE MICROFONE ; SISTEMA WIRELESS MICROPHONE SYSTEM;
170;6583;07/05/2007 ; 03/05/2008;;FRAHM;PS 500;CAIXA ACUSTICA ; DE 75 W;
171;6584;07/05/2007 ; 03/05/2008;;FRAHM;PS 500;CAIXA ACUSTICA ; DE 75 W;
172;6595;20/05/2007 ; 16/02/2008;;MOBRAN;SECRETÁRIO;ESTAÇÃO DE TRABALHO C/ UM MÓDULO - TIPO SECRETÁRIO ; MEDINDO 135 X 135 X 060 X 060 X 074CM;
173;6652;20/05/2007 ; 16/02/2008;;MOBRAN;PADRÃO;ARMARIO ALTO - C/ DUAS PORTAS DE CORRER ; MEDINDO 090CM DE LARG; 050CM DE PROF E 163CM DE ALTURA;;
174;6810;04/06/2007 ; 30/11/2007;;KARSECT;KST-5U;MICROFONE SEM FIO ; SISTEMA WIRELESS MICROPHONE SYSTEM;
175;6811;04/06/2007 ; 30/11/2007;;KARSECT;KST-5U;MICROFONE SEM FIO ; SISTEMA WIRELESS MICROPHONE SYSTEM;
176;6814;22/06/2007 ; 19/06/2008;;SONY;CYBER-SHOT DSC-S650;CÂMERA FOTOGRÁFICA DIGITAL ; 72 MEGA PIXELS; COM ZOOM ÓPTICO 3X E MONITOR DE LCD DE 20;;
177;6815;22/06/2007 ; 19/06/2008;;SONY;CYBER-SHOT DSC-S650;CÂMERA FOTOGRÁFICA DIGITAL ; 72 MEGA PIXELS; COM ZOOM ÓPTICO 3X E MONITOR DE LCD DE 20;;
178;6834;09/07/2007 ; 02/07/2008;;GREE;GJ21;CONDICIONADOR DE AR DE PAREDE ; DE 21000 BETUS;
179;6837;09/07/2007 ; 02/07/2008;;GREE;GJ21;CONDICIONADOR DE AR DE PAREDE ; DE 21000 BETUS;
180;6844;17/08/2007 ; 17/08/2008;;HITACHI;SPLIT;MINI-CENTRAL DE AR CONDICIONADO ; DE 30000 BTÚS CONDENSADORA    SÉRIE-471965;
181;6851;;;;;;BANCADA DE TRABALHO  ; EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS;
182;6852;;;;;;BANCADA DE TRABALHO  ; EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS;
183;6854;;;;;;BANCADA DE TRABALHO  ; EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS;
184;6855;;;;;;BANCADA DE TRABALHO  ; EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS;
185;6856;;;;;;BANCADA DE TRABALHO  ; EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS;
186;6857;;;;;;BANCADA DE TRABALHO  ; EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS;
187;6858;;;;;;BANCADA DE TRABALHO  ; EM MADEIRA C/ ESTRUTURA EM AÇO MEDINDO 3 METROS NA COR BRANCA COM 16 TOMADAS FEMEAS;
188;6967;;;MITRA;;;CINZEIRO LIXEIRA ; INOX MEDINDO 0;30 CM DIAMETRO X 0;70 CM ALTURA ;;
189;6968;;;MITRA;;;CINZEIRO LIXEIRA ; INOX MEDINDO 0;30 CM DIAMETRO X 0;70 CM ALTURA ;;
190;6976;;;;;;BANCADA DE TRABALHO  ; PARA SUPORTE DE URNAS ELETRÔNICAS;
191;6979;;;;;;BANCADA DE TRABALHO  ; PARA SUPORTE DE URNAS ELETRÔNICAS;
192;6984;;;;;;BANCADA DE TRABALHO  ; PARA SUPORTE DE URNAS ELETRÔNICAS;
193;7044;15/04/2008 ; 14/04/2009;;PLANTRONICS;CT 12;HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE ; SEM FIO 24 GHZ;
194;7045;15/04/2008 ; 14/04/2009;;PLANTRONICS;CT 12;HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE ; SEM FIO 24 GHZ;
195;7046;15/04/2008 ; 14/04/2009;;PLANTRONICS;CT 12;HEADSET APARELHO  COM FONE DE OUVIDO E MICROFONE ; SEM FIO 24 GHZ;
196;7052;;;BROTHER;FAX-575;U61361L7K900370;APARELHO DE FAX ; PAPEL A4;
197;7053;;;CCE;700USX;JMC3688FGTNI00GBA;DVD PLAYER ; COM CONTROLE;
198;7073;15/05/2008 ; 15/05/2008;;WACUM;GTE-650;MESA DIGITAL ; DE 6X8;
