;Item;Patrimônio;Sit Física;Valor de Aquisição;Valor Bruto Atual;Descrição;Caracteristicas;;
;138;6000;INSERVÍVEL;200;20;PRATELEIRA COM TAMPA;EM MADEIRA ESTRUTURA DE FERRO, COM SUPORTE E MÃO-DE-FORCA, INSTALADA A PARTIR 2 METROS DE ALTURA DO CHÃO, PROFUNDIDADE DE 40 CM, ALTURA DE 50 CM CADA UMA, 1 (UMA) PARTE DE 3 METROS E 1(UMA) PARTE DE 4 METROS;;
;139;6001;INSERVÍVEL;200;20;PRATELEIRA COM TAMPA;EM MADEIRA ESTRUTURA DE FERRO, COM SUPORTE E MÃO-DE-FORCA, INSTALADA A PARTIR 2 METROS DE ALTURA DO CHÃO, PROFUNDIDADE DE 40 CM, ALTURA DE 50 CM CADA UMA, 1 (UMA) PARTE DE 3 METROS E 1(UMA) PARTE DE 4 METROS;;
;140;6002;INSERVÍVEL;1248;124,8;CONDICIONADOR DE AR DE PAREDE;10000BTUS DE 220WATS;SPRINGER - MODELO: MCA105BB - SERIE: 2705897652;
;141;6003;INSERVÍVEL;1248;124,8;CONDICIONADOR DE AR DE PAREDE;10000BTUS DE 220WATS;SPRINGER - MODELO: MCA105BB - SERIE: 2405897641;
;142;6066;INSERVÍVEL;241,88;24,19;MONITOR DE VIDEO POLICROMATICO;IBM - SERIE: VG-32809;;
;143;6070;INSERVÍVEL;199,92;19,99;TECLADO PARA MICROCOMPUTADOR;IBM - SERIE: 0138775;;
;144;6159;INSERVÍVEL;2869,5;286,95;MICROCOMPUTADOR COM PROCESSADOR PENTIUM IV;IBM - SERIE: L1AK6DK;;
;145;6205;INSERVÍVEL;150;15;MONITOR DE VIDEO POLICROMATICO;IBM - SERIE: VR09028;;
;146;6307;INSERVÍVEL;523;52,3;DVD PLAYER;PORTÁTIL;GRADIENTE - MODELO: DT-320 - SERIE: 57U266729A5K;
;147;6308;INSERVÍVEL;656,01;656,01;ROTEADOR PARA REDES;DIGITEL - MODELO: 2G 3201 - SERIE: 7802606;;
;148;6315;INSERVÍVEL;364;36,4;GAVETEIRO VOLANTE EM MELAMINIO;COM 3 GAVETAS / CHAVES NA COR CINZA;CADERODE;
;149;6323;INSERVÍVEL;2500;250;TELEVISOR EM CORES;34 POLEGADAS;SONY - MODELO: KV-34FS110 - SERIE: 3002026;
;150;6328;INSERVÍVEL;3495,32;349,53;SWITCH  ;CISCO - MODELO: 2950T - SERIE: FOC1002Z349;;
;151;6369;INSERVÍVEL;259;259;DVD PLAYER;GRADIENTE - MODELO: D-203 - SERIE: 25U289925H6E;;
;152;6379;INSERVÍVEL;1746;1746;APARELHO DE GPS (SISTEMA DE POSICIONAMENTO GLOBAL);NR SÉRIE 74969798;GARMIN - MODELO: MAP 60CSX;
;153;6399;INSERVÍVEL;4035;4035;BALCAO PARA ATENDIMENTO;EM MELAMINIO COM PAINÉIS 1,20 X0,73M 1MEDINDO 0,90X1,08M   COM DOIS  MÓDULOS;;
;154;6400;INSERVÍVEL;4035;4035;BALCAO PARA ATENDIMENTO;EM MELAMINIO COM PAINÉIS 1,20 X0,73M 1MEDINDO 0,90X1,08M   -   COM  DOIS  MÓDULOS  ;;
;155;6463;BOM;1435,25;1435,25;MINI-CENTRAL DE AR CONDICIONADO;TIPO SPLIT, CAPACIDADE 12000 BTUS;SPRINGER - MODELO: SILENTIA - SERIE: S2906B92329;
;156;6464;INSERVÍVEL;1435,25;1435,25;MINI-CENTRAL DE AR CONDICIONADO;TIPO SPLIT, CAPACIDADE 12000 BTUS;SPRINGER - MODELO: SILENTIA - SERIE: S2906B92397;
;157;6468;INSERVÍVEL;408,42;408,42;APARELHO DE FAX;- PAPEL PLANO;BROTHER - MODELO: FAX-575 - SERIE: B6K957759;
;158;6496;INSERVÍVEL;84;84;CADEIRA FIXA EM TECIDO;NA COR AZUL MARINHO;SUL BASES - MODELO: ANATÔMICA;
;159;6500;INSERVÍVEL;223;223;POLTRONA FIXA EM TECIDO SOBRE LONGARINA;NA COR AZUL MARINHO;;
;160;6503;INSERVÍVEL;223;223;POLTRONA FIXA EM TECIDO SOBRE LONGARINA;NA COR AZUL MARINHO;;
;161;6536;INSERVÍVEL;728,06;72,81;MONITOR LCD - CRISTAL LIQUIDO;17 POLEGADAS;AOC - SERIE: T7P71904926;
;162;6541;INSERVÍVEL;728,06;72,81;MONITOR LCD - CRISTAL LIQUIDO;17 POLEGADAS;AOC - SERIE: T7CP71A902516;
;163;6545;INSERVÍVEL;728,06;72,81;MONITOR LCD - CRISTAL LIQUIDO;17 POLEGADAS;AOC - MODELO: LM722 - SERIE: T7CP71A904800;
;164;6548;INSERVÍVEL;728,06;72,81;MONITOR LCD - CRISTAL LIQUIDO;17 POLEGADAS;AOC - MODELO: LM722 - SERIE: T7CP71A904641;
;165;6550;INSERVÍVEL;728,06;72,81;MONITOR LCD - CRISTAL LIQUIDO;17 POLEGADAS;AOC - MODELO: LM722 - SERIE: T7CP71A902841;
;166;6551;INSERVÍVEL;728,06;72,81;MONITOR LCD - CRISTAL LIQUIDO;17 POLEGADAS;AOC - MODELO: LM722 - SERIE: T7CP71A904492;
;167;6576;INSERVÍVEL;2400;2400;NO BREAK ;3KVA/ 18 KW PARA RACK 19;APC - MODELO: SURTA 3000XL - SERIE: JS0646014603;
;168;6579;INSERVÍVEL;2400;2400;NO BREAK ;3KVA/ 18 KW PARA RACK 19;APC - MODELO: SURTA 3000XL - SERIE: JS0646014605;
;169;6581;INSERVÍVEL;394;394;RECEPTOR DE MICROFONE;SISTEMA WIRELESS MICROPHONE SYSTEM;KARSECT - MODELO: KRU-302 - SERIE: KRU302070306577;
;170;6583;INSERVÍVEL;350;350;CAIXA ACUSTICA;DE 75 W;FRAHM - MODELO: PS 500;
;171;6584;INSERVÍVEL;350;350;CAIXA ACUSTICA;DE 75 W;FRAHM - MODELO: PS 500;
;172;6595;INSERVÍVEL;1248;1248;ESTAÇÃO DE TRABALHO C/ UM MÓDULO - TIPO SECRETÁRIO;MEDINDO 135 X 135 X 060 X 060 X 074CM;MOBRAN - MODELO: SECRETÁRIO;
;173;6652;INSERVÍVEL;1150;1150;ARMARIO ALTO - C/ DUAS PORTAS DE CORRER;MEDINDO 090CM DE LARG, 050CM DE PROF E 163CM DE ALTURA;MOBRAN - MODELO: PADRÃO;
;174;6810;INSERVÍVEL;150;150;MICROFONE SEM FIO;SISTEMA WIRELESS MICROPHONE SYSTEM;KARSECT - MODELO: KST-5U - SERIE: KST5U070306577/1;
;175;6811;INSERVÍVEL;150;150;MICROFONE SEM FIO;SISTEMA WIRELESS MICROPHONE SYSTEM;KARSECT - MODELO: KST-5U - SERIE: KST5U070306577/2;
