DATA;TIPO;NR;PROCEDIMENTO;DESCRIÇÃO: MATERIAL / SERVIÇO / PATRONAL;VALOR;DEFERIDO POR;CODIGO;Unidade;TIPO DE EMPENHO;UNIDADE;OBS;COD;TIPO;OBS
26/04/22;EMP;243;278-55.2022;CT 12/2018 - 4 TA - Manutenção bebedouros - serviços;58769,45;PRESI;20GPC;33903917;IEF MANPRE;SEAD;126;SEADE;estimativo;"EMP24358769;4520GPC/33903917-IEF MANPRE-SEAD-126"
26/04/22;EMP;242;278-55.2022;CT 12/2018 - 4 TA - Manutenção de bebedouras - peças;7000;PRESI;20GPC;33903025;ADM MATMAN;SEAD;121;SEADE;estimativo;EMP242700020GPC/33903025-ADM MATMAN-SEAD-121
15/03/22;EMP;120;323-59.2022;Contratação de Curso de Auditoria Governamental para COCIN;3380;SAO;CAPAC;33903948;AC CAPPAC;SEDES;5;SEDES;ordinario;EMP1203380CAPAC/33903948-AC CAPPAC-SEDES-5
15/03/22;EMP;119;356-49.2022;Contratação de Curso para COFIN;6760;SAO;CAPAC;33903948;AC CAPPAC;SEDES;5;SEDES;ordinario;
01/04/22;EMP;203;2475-17.2021;Contratação do serviço de chaveiro ;7200;SAO;20GPC;33903916;IEF MANPRE;SEAD;125;SEADE;estimativo;EMP203720020GPC/33903916-IEF MANPRE-SEAD-125
21/03/22;EMP;124;317-52.2022;Contratação de Curso de Gestão da Estratégia para ASPLAN;25000;SAO;CAPAC;33903948;AC CAPPAC;SEDES;5;SEDES;ordinario;EMP12425000CAPAC/33903948-AC CAPPAC-SEDES-5
21/03/22;EMP;123;490-76.2022;Contratação de Curso de EFD-Reinf;4461;SAO;CAPAC;33903948;AC CAPPAC;SEDES;5;SEDES;ordinario;EMP1234461CAPAC/33903948-AC CAPPAC-SEDES-5
09/03/22;INF;31;1644-66.2021;Serviços de Rede Corporativa;338963,8;PRESI;20GPC;33904013;TIC COMRED;STI;173;CIE ;global;"INF31338963;820GPC/33904013-TIC COMRED-STI-173"
09/03/22;EMP;108;-;cancelado;;;20GPC;33904013;TIC COMRED;STI;173;CIE ;global;EMP10820GPC/33904013-TIC COMRED-STI-173
09/03/22;EMP;109;2828-57.2017;CT 10/2018 - Serviços de Rede Corporativa;249070,73;PRESI;20GPC;33904013;TIC COMRED;STI;173;CIE ;global;"EMP109249070;7320GPC/33904013-TIC COMRED-STI-173"
09/03/22;EMP;110;4798-92.2017;CT  28/2018 - Serviço de dados móveis;7181,96;PRESI;20GPC;33904014;TIC COMRED;STI;177;CIE ;global;"EMP1107181;9620GPC/33904014-TIC COMRED-STI-177"
21/03/22;EMP;125;365-90.2022;Fornecimento de Água - 6ª ZE;420;SAO;20GPC;33903007;ADM MATAUX;SEAD;118;6ZE;estimativo;EMP12542020GPC/33903007-ADM MATAUX-SEAD-118
21/03/22;EMP;125;365-90.2022;Fornecimento de Gás - 6ª ZE;270;SAO;20GPC;33903004;ADM MATAUX;SEAD;117;6ZE;estimativo;EMP12527020GPC/33903004-ADM MATAUX-SEAD-117
10/03/22;INF;33;2733-27.2021;Aquisição de material odontológico;3683,28;;20GPC;33903010;ADM MATMOD;SASBEN;115;SASBEN;ordinario;"INF333683;2820GPC/33903010-ADM MATMOD-SASBEN-115"
15/03/22;EMP;118;2331-43.2021;Aquisição de totem;1950;SAO;20GPI;99999999;OUTROS;OUTRO;92;SEJUD;ordinario;EMP118195020GPI/99999999-OUTROS--92
10/03/22;EMP;112;2399-90.2021;Serviço de lavagem de veículos - item 1;525;PRESI;20GPC;33903919;ADM MANVEI;SETRAN;160;SETRAN;estimativo;EMP11252520GPC/33903919-ADM MANVEI-SETRAN-160
